Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
Lancaster El,Milwaukee,3619,01,0241,Elementary School,K3,08,Justin  Henze,Assistant Principal,4931 N 68th St  Milwaukee WI  53218-3905,"4931 N 68th St Milwaukee WI  53218-3905  ",Milwaukee,53218,3905,"4931 N 68th St Milwaukee WI  53218-3905  ",Milwaukee,40,Milwaukee,414-393-5500,N/A,4143935515,241@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01204,Public school
Lancaster Hi,Lancaster Community,2912,03,0020,High School,09,12,Mark  Uppena,Principal,806 E Elm St  Lancaster WI  53813-1399,"806 E Elm St Lancaster WI  53813-1399  ",Lancaster,53813,1399,"806 E Elm St Lancaster WI  53813-1399  ",Lancaster,22,Grant,608-723-2173,320,6087232441,uppenam@lancastersd.k12.wi.us,www.lancastersd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507770,00891,Public school
Lancaster Mid,Lancaster Community,2912,03,0040,Middle School,06,08,Mark  Uppena,Principal,802 E Elm St  Lancaster WI  53813-1320,"802 E Elm St Lancaster WI  53813-1320  ",Lancaster,53813,1320,"802 E Elm St Lancaster WI  53813-1320  ",Lancaster,22,Grant,608-723-6425,N/A,6087236731,uppenam@lancastersd.k12.wi.us,www.lancastersd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507770,00890,Public school
Lance Mid,Kenosha,2793,01,0320,Middle School,06,08,Chad  Dahlk,Principal,4515 80th St  Kenosha WI  53142-2038,"4515 80th St Kenosha WI  53142-2038  ",Kenosha,53142,2038,"4515 80th St Kenosha WI  53142-2038  ",Kenosha,30,Kenosha,262-359-2240,N/A,2623592184,cdahlk@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,00815,Public school
Lane Intermediate,West Allis-West Milwaukee,6300,01,0220,Middle School,06,08,Bob  Antholine,Co-Principal,1300 S 109th St  West Allis WI  53214-2300,"1300 S 109th St West Allis WI  53214-2300  ",West Allis,53214,2300,"1300 S 109th St West Allis WI  53214-2300  ",West Allis,40,Milwaukee,414-329-6611,N/A,4142590306,antholiner@wawmsd.org,www.wawm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5516260,03004,Public school
Langlade El,Green Bay Area Public,2289,07,0400,Elementary School,K4,06,Jesse  Brinkmann,Principal,400 Broadview Dr  Green Bay WI  54301-2896,"400 Broadview Dr Green Bay WI  54301-2896  ",Green Bay,54301,2896,"400 Broadview Dr Green Bay WI  54301-2896  ",Green Bay,05,Brown,920-337-2370,N/A,9203372374,jmbrinkmann@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00629,Public school
Lannon El,Hamilton,2420,01,0060,Elementary School,KG,05,Brian  Balfany,Principal,7145 N Lannon Rd  Lannon WI  53046-0376,"7145 N Lannon Rd Lannon WI  53046-0376  ",Lannon,53046,0376,"7145 N Lannon Rd Lannon WI  53046-0376  ",Lannon,67,Waukesha,262-255-6106,N/A,2622554185,balfbr@hamilton.k12.wi.us,www.hamilton.k12.wi.us,Regular,No,No,5506030,00665,Public school
Lannoye El,Pulaski Community,4613,07,0060,Elementary School,K4,05,Jennifer  Sommers,Principal,2007 County Road U  Green Bay WI  54313-4412,"2007 County Road U Green Bay WI  54313-4412  ",Green Bay,54313,4412,"2007 County Road U Green Bay WI  54313-4412  ",Green Bay,05,Brown,920-865-6400,N/A,9208656402,jlsommers@pulaskischools.org,www.pulaskischools.org/lannoye,Regular,No,Primarily Classroom (Supplemental Virtual),5512330,01599,Public school
Laona Hi,Laona,2940,08,0020,High School,07,12,Jim  Bradley,Principal,5216 Forest Ave Ste A  Laona WI  54541-9375,"5216 Forest Ave Ste A Laona WI  54541-9375  ",Laona,54541,9375,"5216 Forest Ave Ste A Laona WI  54541-9375  ",Laona,21,Forest,715-674-3801,N/A,7156745904,jbradley@laona.k12.wi.us,www.laona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507830,00893,Public school
Lapham El,Madison Metropolitan,3269,02,0053,Elementary School,K4,02,Tammy  Thompson Kapp,Principal,1045 E Dayton St  Madison WI  53703-2427,"1045 E Dayton St Madison WI  53703-2427  ",Madison,53703,2427,"1045 E Dayton St Madison WI  53703-2427  ",Madison,13,Dane,608-204-4143,N/A,6082040447,tjthompson@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,02412,Public school
Laurel Hi,Viroqua Area,5985,04,0410,High School,09,12,Katherine  Klos,Principal,100 Blackhawk Dr  Viroqua WI  54665,"100 Blackhawk Dr Viroqua WI  54665-1315  ",Viroqua,54665,1315,"100 Blackhawk Dr Viroqua WI  54665  ",Viroqua,62,Vernon,608-637-1605,N/A,6086378034,kklos@viroquablackhawk.org,www.viroquaareaschools.com,Regular,Charter,Primarily Classroom (Supplemental Virtual),5515360,01936,Public school
Lawrence-Lawson El,Sparta Area,5460,04,0080,Elementary School,KG,03,Toby  Oswald,Principal,429 N Black River St  Sparta WI  54656-1531,"429 N Black River St Sparta WI  54656-1531  ",Sparta,54656,1531,"429 N Black River St Sparta WI  54656-1531  ",Sparta,41,Monroe,608-366-3438,N/A,6083663437,toswald@spartan.org,www.spartan.org/schools/lawrence-lawson,Regular,No,No,5514160,01839,Public school
LEADS Primary Charter Sch,Shawano,5264,08,0110,Elementary School,K4,02,Jessie  Hanssen,Director,1410 S Waukechon St  Shawano WI  54166,"1410 S Waukechon St Shawano WI  54166  ",Shawano,54166,,"1410 S Waukechon St Shawano WI  54166  ",Shawano,58,Shawano,715-524-2134,8102,7155264372,hanssej@shawanoschools.com,www.shawanoschools.com,Regular,Charter,Primarily Classroom (Supplemental Virtual),5513620,02908,Public school
Lebanon El,Watertown Unified,6125,02,0060,Elementary School,KG,05,Melissa  Hahn,Principal,W4712 County Road O  Watertown WI  53098-4725,"W4712 County Road O Watertown WI  53098-4725  ",Watertown,53098,4725,"W4712 County Road O Watertown WI  53098-4725  ",Watertown,28,Jefferson,920-925-3712,N/A,9202621469,hahnm@watertown.k12.wi.us,www.watertown.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515750,01998,Public school
Lee Learning Center,Milwaukee,3619,01,0115,Elementary School,K3,KG,Yolanda  Jynes-Allison,Principal,921 W Meinecke Ave  Milwaukee WI  53206-3137,"921 W Meinecke Ave Milwaukee WI  53206-3137  ",Milwaukee,53206,3137,"921 W Meinecke Ave Milwaukee WI  53206-3137  ",Milwaukee,40,Milwaukee,414-475-8111,N/A,4142520365,cottonkm@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,03058,Public school
Lemonweir El,Tomah Area,5747,04,0060,Elementary School,K4,05,Nicki  Pope,Principal,711 N Glendale Ave  Tomah WI  54660-1316,"711 N Glendale Ave Tomah WI  54660-1316  ",Tomah,54660,1316,"District Warehouse 1550 Townline Rd Tomah WI  54660-1335 ",Tomah,41,Monroe,608-374-7846,N/A,6083725087,nickipope@tomah.education,www.tomah.education,Regular,No,Primarily Classroom (Supplemental Virtual),5514910,01934,Public school
Lena El,Lena,2961,08,0020,Elementary School,K4,05,Ben  Pytleski,Principal,304 E Main St  Lena WI  54139-9488,"304 E Main St Lena WI  54139-9488  ",Lena,54139,9488,"304 E Main St Lena WI  54139-9488  ",Lena,42,Oconto,920-829-5959,3,9208295122,pytleskib@lenak12.org,www.lena.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507860,00895,Public school
Lena Hi,Lena,2961,08,0040,High School,09,12,James  Torzala,Principal,304 E Main St  Lena WI  54139-9488,"304 E Main St Lena WI  54139-9488  ",Lena,54139,9488,"304 E Main St Lena WI  54139-9488  ",Lena,42,Oconto,920-829-5244,4,9208295122,torzalaj@lenak12.org,www.lena.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507860,00896,Public school
Lena Mid,Lena,2961,08,0060,Middle School,06,08,James  Torzala,Principal,304 E Main St  Lena WI  54139-9488,"304 E Main St Lena WI  54139-9488  ",Lena,54139,9488,"304 E Main St Lena WI  54139-9488  ",Lena,42,Oconto,920-829-5244,4,9208295122,torzalaj@lenak12.org,www.lena.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507860,00897,Public school
Leonardo da Vinci Sch-Gifted,Green Bay Area Public,2289,07,0150,Combined Elementary/Secondary School,KG,08,Tammy  Van Dyke,Principal,139 S Monroe Ave  Green Bay WI  54301,"139 S Monroe Ave Green Bay WI  54301  ",Green Bay,54301,,"139 S Monroe Ave Green Bay WI  54301  ",Green Bay,05,Brown,920-448-2135,N/A,9204487328,tsvandyke@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,02955,Public school
Leopold El,Madison Metropolitan,3269,02,0475,Elementary School,K4,05,Karine  Sloan,Principal,2602 Post Rd  Madison WI  53713-3599,"2602 Post Rd Madison WI  53713-3599  ",Madison,53713,3599,"2602 Post Rd Madison WI  53713-3599  ",Madison,13,Dane,608-204-4242,N/A,6082040451,ksloan@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00944,Public school
Les Paul Mid,Waukesha,6174,01,0120,Middle School,06,08,Rob  Bennett,Principal,325 Carroll St  Waukesha WI  53186,"325 Carroll St Waukesha WI  53186  ",Waukesha,53186,,"325 Carroll St Waukesha WI  53186  ",Waukesha,67,Waukesha,262-970-3110,N/A,2629703120,rbennett@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02009,Public school
Levi Leonard El,Evansville Community,1694,02,0020,Elementary School,K4,02,Mark  Schwartz,Principal,401 S 3rd St  Evansville WI  53536-1290,"401 S 3rd St Evansville WI  53536-1290  ",Evansville,53536,1290,"401 S 3rd St Evansville WI  53536-1290  ",Evansville,53,Rock,608-882-4606,3104,6088825838,dobbsj@evansville.k12.wi.us,www.evansville.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504440,00477,Public school
Lewiston El,Portage Community,4501,05,0100,Elementary School,KG,05,Nicole  Schoenborn,Principal,W11195 State Road 127  Portage WI  53901-9413,"W11195 State Road 127 Portage WI  53901-9413  ",Portage,53901,9413,"W11195 State Road 127 Portage WI  53901-9413  ",Portage,11,Columbia,608-742-2524,N/A,6087422418,schoenbornn@portage.k12.wi.us,www.portage.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512060,02280,Public school
Lien El,Amery,0119,11,0020,Elementary School,K4,02,Cheryl  Meyer,Principal,469 Minneapolis Ave S  Amery WI  54001-1599,"469 Minneapolis Ave S Amery WI  54001-1599  ",Amery,54001,1599,"469 Minneapolis Ave S Amery WI  54001-1599  ",Amery,48,Polk,715-268-9771,263,7152685633,meyerc@amerysd.k12.wi.us,www.amerysd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500300,00029,Public school
LIFE Entrepreneur Magnet Sch,Hartland-Lakeside J3,2460,01,0200,Middle School,06,08,Michele  Schmidt,Principal,800 E North Shore Dr  Hartland WI  53029-2713,"800 E North Shore Dr Hartland WI  53029-2713  ",Hartland,53029,2713,"800 E North Shore Dr Hartland WI  53029-2713  ",Hartland,67,Waukesha,262-369-6767,N/A,2623696766,mschmidt@hartlake.org,www.hartlake.org,Regular,No,No,5506140,02837,Public school
Lighthouse Learning Acad,Two Rivers Public,5824,07,0810,Combined Elementary/Secondary School,K4,12,Lisa  Quistorf,Administrator,4521 Lincoln Ave  Two Rivers WI  54241,"4521 Lincoln Ave Two Rivers WI  54241  ",Two Rivers,54241,,"4521 Lincoln Ave Two Rivers WI  54241  ",Two Rivers,36,Manitowoc,920-793-4560,N/A,9207934014,lisa.quistorf@trschools.k12.wi.us,www.trschools.k12.wi.us/lighthouse/index.cfm,Regular,Charter,Exclusively Virtual,5515120,03037,Public school
Lincoln Avenue El,Milwaukee,3619,01,0250,Elementary School,K3,05,Yaribel  Rodriguez,Assistant Principal,1817 W Lincoln Ave  Milwaukee WI  53215-2650,"1817 W Lincoln Ave Milwaukee WI  53215-2650  ",Milwaukee,53215,2650,"1817 W Lincoln Ave Milwaukee WI  53215-2650  ",Milwaukee,40,Milwaukee,414-902-9700,N/A,4149029715,250@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01206,Public school
Lincoln El,Alma Center,0091,04,0080,Elementary School,K4,06,Brad  Rogers,Principal,207 E Pearl St  Merrillan WI  54754,"PO Box 270 Merrillan WI  54754-0270  ",Merrillan,54754,0270,"207 E Pearl St Merrillan WI  54754  ",Merrillan,27,Jackson,715-333-2911,N/A,7153332914,brad_rogers@achm.k12.wi.us,www.achm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500210,00022,Public school
Lincoln El,Appleton Area,0147,06,0280,Elementary School,PK,06,Bill  McClone,Principal,1000 N Mason St  Appleton WI  54914-3698,"1000 N Mason St Appleton WI  54914-3698  ",Appleton,54914,3698,"1000 N Mason St Appleton WI  54914-3698  ",Appleton,44,Outagamie,920-832-6270,N/A,9208326348,mcclonewilliam@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390,00059,Public school
Lincoln El,Beaver Dam Unified,0336,06,0100,Elementary School,KG,05,Kathy  Lehman,Principal,210 Gould St  Beaver Dam WI  53916-1997,"210 Gould St Beaver Dam WI  53916-1997  ",Beaver Dam,53916,1997,"210 Gould St Beaver Dam WI  53916-1997  ",Beaver Dam,14,Dodge,920-885-7396,4201,9203925184,lehmank@bdusd.org,www.bdusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500960,00126,Public school
Lincoln El,Cudahy,1253,01,0080,Elementary School,K4,05,Matthew  Orlowski,Principal,4416 S Packard Ave  Cudahy WI  53110-1195,"4416 S Packard Ave Cudahy WI  53110-1195  ",Cudahy,53110,1195,"4416 S Packard Ave Cudahy WI  53110-1195  ",Cudahy,40,Milwaukee,414-294-2932,N/A,4144893008,orlowskim@cudahysd.org,www.cudahy.k12.wi.us/schools/lincoln,Regular,No,Primarily Classroom (Supplemental Virtual),5503060,00340,Public school
Lincoln El,Green Bay Area Public,2289,07,0420,Elementary School,K4,05,Angela  Hager,Principal,105 S Buchanan St  Green Bay WI  54303-1998,"105 S Buchanan St Green Bay WI  54303-1998  ",Green Bay,54303,1998,"105 S Buchanan St Green Bay WI  54303-1998  ",Green Bay,05,Brown,920-492-2675,N/A,9204925572,ajhager@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00562,Public school
Lincoln El,Hartford J1,2443,06,0040,Elementary School,K4,05,Neil  Hanlon,Principal,755 S Rural St  Hartford WI  53027-2199,"755 S Rural St Hartford WI  53027-2199  ",Hartford,53027,2199,"755 S Rural St Hartford WI  53027-2199  ",Hartford,66,Washington,262-673-2100,N/A,2626730148,nhanlon@hartfordjt1.k12.wi.us,www.hartfordjt1.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506090,00675,Public school
Lincoln El,Janesville,2695,02,0200,Elementary School,K4,05,Shawn  Galvin,Principal,1821 Conde St  Janesville WI  53546-6099,"1821 Conde St Janesville WI  53546-6099  ",Janesville,53546,6099,"1821 Conde St Janesville WI  53546-6099  ",Janesville,53,Rock,608-743-6705,N/A,6087436710,wnelson@janesville.k12.wi.us,www.janesville.k12.wi.us/lin,Regular,No,Primarily Classroom (Supplemental Virtual),5507020,00766,Public school
Lincoln El,Madison Metropolitan,3269,02,0015,Elementary School,K4,05,Deborah  Hoffman,Principal,909 Sequoia Trl  Madison WI  53713-2599,"909 Sequoia Trl Madison WI  53713-2599  ",Madison,53713,2599,"909 Sequoia Trl Madison WI  53713-2599  ",Madison,13,Dane,608-204-4906,N/A,6082040455,dahoffman@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,02263,Public school
Lincoln El,Marshfield Unified,3339,05,0080,Elementary School,KG,06,Brooke  Bargender,Principal,1621 S Felker Ave  Marshfield WI  54449,"1621 S Felker Ave Marshfield WI  54449  ",Marshfield,54449,,"1621 S Felker Ave Marshfield WI  54449  ",Marshfield,71,Wood,715-387-1296,N/A,7153899402,bargenderb@marshfieldschools.org,www.marshfieldschools.org/domain/62,Regular,No,Primarily Classroom (Supplemental Virtual),5508820,01018,Public school
Lincoln El,New London,3955,06,0040,Elementary School,K4,04,Kirk  Delwiche,Principal,201 E Washington St  New London WI  54961-1838,"201 E Washington St New London WI  54961-1838  ",New London,54961,1838,"201 E Washington St New London WI  54961-1838  ",New London,68,Waupaca,920-982-8540,N/A,9209828701,kdelwich@newlondon.k12.wi.us,www.newlondon.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5510590,01383,Public school
Lincoln El,Port Washington-Saukville,4515,01,0060,Elementary School,K4,04,Jane  Gennerman,Principal,1325 N Theis Ln  Port Washington WI  53074-1245,"1325 N Theis Ln Port Washington WI  53074-1245  ",Port Washington,53074,1245,"1325 N Theis Ln Port Washington WI  53074-1245  ",Port Washington,45,Ozaukee,262-268-5805,N/A,2622685820,jane.gennerman@pwssd.k12.wi.us,www.pwssd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512000,01567,Public school
Lincoln El,Richland,4851,03,0260,Elementary School,K4,K4,Stephanie  Moore,Principal,678 S Park St  Richland Center WI  53581-2748,"678 S Park St Richland Center WI  53581-2748  ",Richland Center,53581,2748,"678 S Park St Richland Center WI  53581-2748  ",Richland Center,52,Richland,608-647-2511,N/A,6086472303,lstafford@richland.k12.wi.us,www.richland.k12.wi.us/lincoln,Regular,No,Primarily Classroom (Supplemental Virtual),5512960,01706,Public school
Lincoln El,Watertown Unified,6125,02,0080,Elementary School,PK,05,Emily  Lessner,Principal,210 N Montgomery St  Watertown WI  53094-7648,"210 N Montgomery St Watertown WI  53094-7648  ",Watertown,53094,7648,"210 N Montgomery St Watertown WI  53094-7648  ",Watertown,28,Jefferson,920-262-1465,N/A,9202627581,lessnere@watertown.k12.wi.us,www.watertown.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515750,01999,Public school
Lincoln El,Wausau,6223,09,0220,Elementary School,KG,05,Julie  Schell,Principal,720 S 6th Ave  Wausau WI  54401-5382,"720 S 6th Ave Wausau WI  54401-5382  ",Wausau,54401,5382,"650 S 7th Ave Wausau WI  54401-5310  ",Wausau,37,Marathon,715-261-0965,N/A,7152612690,jschell@wausauschools.org,www.wausauschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5515900,02056,Public school
Lincoln El,Wauwatosa,6244,01,0120,Elementary School,K4,05,Michelle  Miner,Principal,1741 N Wauwatosa Ave  Wauwatosa WI  53213-2296,"1741 N Wauwatosa Ave Wauwatosa WI  53213-2296  ",Wauwatosa,53213,2296,"1741 N Wauwatosa Ave Wauwatosa WI  53213-2296  ",Wauwatosa,40,Milwaukee,414-773-1300,N/A,4147731320,minermi@wauwatosa.k12.wi.us,www.edlinesites.net/pages/688213226890694946,Regular,No,Primarily Classroom (Supplemental Virtual),5515990,02082,Public school
Lincoln El,Whitewater Unified,6461,02,0080,Elementary School,K4,05,Mary  Kilar,Principal,242 S Prince St  Whitewater WI  53190-1777,"242 S Prince St Whitewater WI  53190-1777  ",Whitewater,53190,1777,"242 S Prince St Whitewater WI  53190-1777  ",Whitewater,64,Walworth,262-472-8505,N/A,2624728510,mkilar@wwusd.org,www.wwusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5516680,02180,Public school
Lincoln Hi,Alma Center,0091,04,0060,High School,09,12,Glenda  Morgan,Principal,124 S School St  Alma Center WI  54611-1200,"PO Box 308 Alma Center WI  54611-0308  ",Alma Center,54611,0308,"124 S School St Alma Center WI  54611-1200  ",Alma Center,27,Jackson,715-964-5311,N/A,7159641005,glenda_morgan@achm.k12.wi.us,www.achm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500210,00020,Public school
Lincoln Hi,Manitowoc,3290,07,0140,High School,10,12,Lee  Thennes,Principal,1433 S 8th St  Manitowoc WI  54220-5799,"1433 S 8th St Manitowoc WI  54220-5799  ",Manitowoc,54220,5799,"1433 S 8th St Manitowoc WI  54220-5799  ",Manitowoc,36,Manitowoc,920-663-9602,N/A,9206639601,thennesl@mpsd.k12.wi.us,www.manitowocpublicschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5508610,00976,Public school
Lincoln Hi,Wisconsin Rapids,6685,05,0160,High School,10,12,Ronald  Rasmussen,Principal,1801 16th St S  Wisconsin Rapids WI  54494-5499,"1801 16th St S Wisconsin Rapids WI  54494-5499  ",Wisconsin Rapids,54494,5499,"1801 16th St S Wisconsin Rapids WI  54494-5499  ",Wisconsin Rapids,71,Wood,715-424-6751,4002,7154226097,ronald.rasmussen@wrps.net,www.wrps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5517070,02209,Public school
Lincoln Jr,Alma Center,0091,04,0070,Junior High School,07,08,Glenda  Morgan,Principal,124 S School St  Alma Center WI  54611-1200,"124 S School St Alma Center WI  54611-1200  ",Alma Center,54611,1200,"124 S School St Alma Center WI  54611-1200  ",Alma Center,27,Jackson,715-964-5311,N/A,7159641005,glenda_morgan@achm.k12.wi.us,www.achm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500210,00021,Public school
Lincoln Mid,Kenosha,2793,01,0360,Middle School,06,08,Starlynn  Daley,Principal,6729 18th Ave  Kenosha WI  53143-4918,"6729 18th Ave Kenosha WI  53143-4918  ",Kenosha,53143,4918,"6729 18th Ave Kenosha WI  53143-4918  ",Kenosha,30,Kenosha,262-359-6296,N/A,2623595966,sdaley@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,00817,Public school
Lincoln Mid,La Crosse,2849,04,0180,Middle School,06,08,Melissa  Murray,Principal,510 9th St S  La Crosse WI  54601-4799,"510 9th St S La Crosse WI  54601-4799  ",La Crosse,54601,4799,"510 9th St S La Crosse WI  54601-4799  ",La Crosse,32,La Crosse,608-789-7780,N/A,6087897181,mmurray@lacrossesd.org,www.lacrosseschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5507530,00863,Public school
Lincoln Mid,Milwaukee,3619,01,0006,Middle School,06,08,Ramon  Evans,Principal,820 E Knapp St  Milwaukee WI  53202-2718,"820 E Knapp St Milwaukee WI  53202-2718  ",Milwaukee,53202,2718,"820 E Knapp St Milwaukee WI  53202-2718  ",Milwaukee,40,Milwaukee,414-212-3300,N/A,4142123315,006@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,02302,Public school
Lincoln-Erdman El,Sheboygan Area,5271,07,0180,Elementary School,K4,05,Amanda Barttelt Schermetzler,Principal,4101 N 50th St  Sheboygan WI  53083-2506,"4101 N 50th St Sheboygan WI  53083-2506  ",Sheboygan,53083,2506,"4101 N 50th St Sheboygan WI  53083-2506  ",Sheboygan,59,Sheboygan,920-459-3595,N/A,9204594049,aschermetzler@sasd.net,www.sheboygan.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513650,01789,Public school
Lindbergh El,Madison Metropolitan,3269,02,0065,Elementary School,K4,05,Salvador  Velasco,Principal,4500 Kennedy Rd  Madison WI  53704-1298,"4500 Kennedy Rd Madison WI  53704-1298  ",Madison,53704,1298,"4500 Kennedy Rd Madison WI  53704-1298  ",Madison,13,Dane,608-204-6502,N/A,6082040459,svelasco@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00921,Public school
Lineville Intermediate,Howard-Suamico,2604,07,0110,Elementary School,05,06,Phillip  Hart,Principal,2700 Lineville Rd  Green Bay WI  54313-7151,"2700 Lineville Rd Green Bay WI  54313-7151  ",Green Bay,54313,7151,"2700 Lineville Rd Green Bay WI  54313-7151  ",Green Bay,05,Brown,920-662-7871,N/A,9206627822,philhart@hssd.k12.wi.us,www.hssd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506630,02456,Public school
Link2Learn Virtual Charter Sch,Chetek-Weyerhaeuser Area,1080,11,0800,Combined Elementary/Secondary School,K4,12,Kim  Ruda,Coordinator,1001 Knapp St  Chetek WI  54728-9107,"PO Box 6 Chetek WI  54728-0006  ",Chetek,54728,0006,"1001 Knapp St Chetek WI  54728-9107  ",Chetek,03,Barron,715-924-3136,2137,7159242376,twingler@cwasd.k12.wi.us,www.cwasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5500061,02897,Public school
Little Chute Career Pathways,Little Chute Area,3129,06,0410,High School,09,12,Tony  Bird,Administrator,1402 Freedom Rd  Little Chute WI  54140-1313,"1402 Freedom Rd Little Chute WI  54140-1313  ",Little Chute,54140,1313,"1402 Freedom Rd Little Chute WI  54140-1313  ",Little Chute,44,Outagamie,920-788-7600,N/A,9207887841,tbird@littlechute.k12.wi.us,www.lccpa.littlechute.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5508160,02905,Public school
Little Chute El,Little Chute Area,3129,06,0020,Elementary School,K4,04,James  Neubert,Principal,901 Grand Ave  Little Chute WI  54140-1700,"901 Grand Ave Little Chute WI  54140-1700  ",Little Chute,54140,1700,"901 Grand Ave Little Chute WI  54140-1700  ",Little Chute,44,Outagamie,920-788-7610,N/A,9207887847,jneubert@littlechute.k12.wi.us,www.littlechute.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508160,00900,Public school
Little Chute Hi,Little Chute Area,3129,06,0040,High School,09,12,Tony  Bird,Principal,1402 Freedom Rd  Little Chute WI  54140-1313,"1402 Freedom Rd Little Chute WI  54140-1313  ",Little Chute,54140,1313,"1402 Freedom Rd Little Chute WI  54140-1313  ",Little Chute,44,Outagamie,920-788-7600,N/A,9207887841,tbird@littlechute.k12.wi.us,www.littlechute.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508160,00901,Public school
Little Chute Intermediate,Little Chute Area,3129,06,0100,Elementary School,05,06,Lori A Van Handel,Principal,1402 Freedom Rd  Little Chute WI  54140-3300,"1402 Freedom Rd Little Chute WI  54140-3300  ",Little Chute,54140,3300,"1402 Freedom Rd Little Chute WI  54140-3300  ",Little Chute,44,Outagamie,920-788-7607,N/A,9207887615,lvanhandel@littlechute.k12.wi.us,www.littlechute.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508160,02858,Public school
Little Chute Mid,Little Chute Area,3129,06,0060,Middle School,07,08,Lori A Van Handel,Principal,1402 Freedom Rd  Little Chute WI  54140-3300,"1402 Freedom Rd Little Chute WI  54140-3300  ",Little Chute,54140,3300,"1402 Freedom Rd Little Chute WI  54140-3300  ",Little Chute,44,Outagamie,920-788-7607,N/A,9207887615,lvanhandel@littlechute.k12.wi.us,www.littlechute.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508160,00902,Public school
