DISTRICT_CODE,SCHOOL_CODE,Juniors Last Year,Seniors Last Year,SCHOOL_NAME,DISTRICT_NAME,Juniors This Year,Seniors This Year,Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
3500,400.0,14,3,Merrill Adult Diploma Academy,Merrill Area,19,2,Merrill Adult Diploma Acad,Merrill Area,3500,9,400,High School,10,12,Shannon  Murray,Principal,1101 N Mill St  Merrill WI  54452,1101 N Mill St Merrill WI  54452  ,Merrill,54452.0,,1101 N Mill St Merrill WI  54452  ,Merrill,35,Lincoln,715-536-4594,3006.0,7155392769.0,shannon.murray@maps.k12.wi.us,www.maps.k12.wi.us,Alternative,Charter,Primarily Classroom (Supplemental Virtual),5509210.0,2743.0,Public school
3500,140.0,218,174,Merrill High,Merrill Area,164,211,Merrill Hi,Merrill Area,3500,9,140,High School,09,12,Shannon  Murray,Principal,1201 N Sales St  Merrill WI  54452-3197,1201 N Sales St Merrill WI  54452-3197  ,Merrill,54452.0,3197.0,1201 N Sales St Merrill WI  54452-3197  ,Merrill,35,Lincoln,715-536-4594,18008.0,7155365504.0,shannon.murray@maps.k12.wi.us,www.maps.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509210.0,1099.0,Public school
3549,800.0,16,8,21st Century eSchool,Middleton-Cross Plains Area,12,5,21st Century eSchool,Middleton-Cross Plains Area,3549,2,800,Combined Elementary/Secondary School,KG,12,Jill  Gurtner,Principal,2429 Clark St  Middleton WI  53562-2619,2429 Clark St Middleton WI  53562-2619  ,Middleton,53562.0,2619.0,2429 Clark St Middleton WI  53562-2619  ,Middleton,13,Dane,608-829-9641,,6088315160.0,jgurtner@mcpasd.k12.wi.us,www.mcpasd.k12.wi.us,Regular,Charter,Exclusively Virtual,5509510.0,2818.0,Public school
3549,400.0,25,23,Clark Street Community School,Middleton-Cross Plains Area,24,31,Clark Street Community Sch,Middleton-Cross Plains Area,3549,2,400,High School,09,12,Jill  Gurtner,Principal,2429 Clark St  Middleton WI  53562-2619,2429 Clark St Middleton WI  53562-2619  ,Middleton,53562.0,2619.0,2429 Clark St Middleton WI  53562-2619  ,Middleton,13,Dane,608-829-9640,,6088315160.0,jgurtner@mcpasd.k12.wi.us,www.mcpasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509510.0,2882.0,Public school
3549,60.0,528,486,Middleton High,Middleton-Cross Plains Area,528,524,Middleton Hi,Middleton-Cross Plains Area,3549,2,60,High School,09,12,Stephan  Plank,Principal,2100 Bristol St  Middleton WI  53562,2100 Bristol St Middleton WI  53562  ,Middleton,53562.0,,2100 Bristol St Middleton WI  53562  ,Middleton,13,Dane,608-829-9660,,6088311995.0,splank@mcpasd.k12.wi.us,www.mcpasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509510.0,1107.0,Public school
3612,100.0,251,295,Milton High,Milton,281,279,Milton Hi,Milton,3612,2,100,High School,09,12,Jeremy  Bilhorn,Principal,114 W High St  Milton WI  53563-1699,114 W High St Milton WI  53563-1699  ,Milton,53563.0,1699.0,114 W High St Milton WI  53563-1699  ,Milton,53,Rock,608-868-9300,1001.0,6088689399.0,bilhornj@milton.k12.wi.us,www.milton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509570.0,1118.0,Public school
3619,413.0,34,49,Alliance School of Milwaukee,Milwaukee,50,50,Alliance Sch of Milw,Milwaukee,3619,1,413,High School,09,12,Allan  Laird,Teacher in Charge,850 W Walnut St  Milwaukee WI  53205,850 W Walnut St Milwaukee WI  53205  ,Milwaukee,53205.0,,850 W Walnut St Milwaukee WI  53205  ,Milwaukee,40,Milwaukee,414-267-5400,,4142675415.0,042@milwaukee.k12.wi.us,www.allianceschool.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,2603.0,Public school
3619,1063.0,19,38,ASSATA High,Milwaukee,21,31,ASSATA,Milwaukee,3619,1,1063,High School,09,12,Carlotta  Pritchett,School Leader,3517 W Courtland Ave  Milwaukee WI  53209-5919,3517 W Courtland Ave Milwaukee WI  53209-5919  ,Milwaukee,53209.0,5919.0,3517 W Courtland Ave Milwaukee WI  53209-5919  ,Milwaukee,40,Milwaukee,414-345-6113,,4143459893.0,418@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,792.0,Public school
3619,434.0,91,96,Audubon Technology and Communication High,Milwaukee,94,82,Audubon Hi,Milwaukee,3619,1,434,High School,09,12,Leon  Groce,Principal,3300 S 39th St  Milwaukee WI  53215-4019,3300 S 39th St Milwaukee WI  53215-4019  ,Milwaukee,53215.0,4019.0,3300 S 39th St Milwaukee WI  53215-4019  ,Milwaukee,40,Milwaukee,414-902-7800,,4149027815.0,090@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2782.0,Public school
3619,432.0,4,11,Banner Preparatory School of Milwaukee,Milwaukee,10,8,Banner Prep,Milwaukee,3619,1,432,High School,09,12,Willie  Maryland,Contact Person,3517 W Courtland Ave  Milwaukee WI  53209-5919,3517 W Courtland Ave Milwaukee WI  53209-5919  ,Milwaukee,53209.0,5919.0,3517 W Courtland Ave Milwaukee WI  53209-5919  ,Milwaukee,40,Milwaukee,414-461-9561,,4144619846.0,427@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,2707.0,Public school
3619,12.0,133,174,Bay View High,Milwaukee,154,209,Bay View Hi,Milwaukee,3619,1,12,High School,09,12,Sandra  Peterson,Principal,2751 S Lenox St  Milwaukee WI  53207-2209,2751 S Lenox St Milwaukee WI  53207-2209  ,Milwaukee,53207.0,2209.0,2751 S Lenox St Milwaukee WI  53207-2209  ,Milwaukee,40,Milwaukee,414-294-2400,,4142942415.0,012@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1127.0,Public school
3619,14.0,141,182,Bradley Technology High,Milwaukee,142,184,Bradley Tech Hi,Milwaukee,3619,1,14,High School,09,12,Jineen  Mclemore-Torres,Principal,700 S Fourth St  Milwaukee WI  53204-1760,700 S Fourth St Milwaukee WI  53204-1760  ,Milwaukee,53204.0,1760.0,700 S Fourth St Milwaukee WI  53204-1760  ,Milwaukee,40,Milwaukee,414-212-2400,,4142122415.0,014@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1218.0,Public school
3619,407.0,79,83,Carmen High School of Science and Technology South Campus,Milwaukee,71,86,Carmen Hi South Campus,Milwaukee,3619,1,407,High School,09,12,Patricia J Hoben,Contact Person,1712 S 32nd St  Milwaukee WI  53215-2104,1712 S 32nd St Milwaukee WI  53215-2104  ,Milwaukee,53215.0,2104.0,1712 S 32nd St Milwaukee WI  53215-2104  ,Milwaukee,40,Milwaukee,414-384-4444,,4143844455.0,678@milwaukee.k12.wi.us,www.carmenhighschool.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,2755.0,Public school
3619,444.0,61,80,Carmen Middle/High School of Science and Technology Northwest Campus,Milwaukee,66,87,Carmen Mid/Hi Northwest Campus,Milwaukee,3619,1,444,High School,06,12,Patricia J Hoben,School Administrator,5496 N 72nd St  Milwaukee WI  53218-2820,5496 N 72nd St Milwaukee WI  53218-2820  ,Milwaukee,53218.0,2820.0,5496 N 72nd St Milwaukee WI  53218-2820  ,Milwaukee,40,Milwaukee,414-384-4000,,4148373990.0,673@milwaukee.k12.wi.us,www.carmenhighschool.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,2980.0,Public school
3619,410.0,63,71,Grandview High,Milwaukee,64,64,Grandview Hi,Milwaukee,3619,1,410,High School,09,12,Debi  Harry,Contact Person,2745 S 13TH St  Milwaukee WI  53215,2745 S 13TH St Milwaukee WI  53215  ,Milwaukee,53215.0,,2745 S 13TH St Milwaukee WI  53215  ,Milwaukee,40,Milwaukee,414-672-1168,,4146721273.0,430@milwaukee.k12.wi.us,www.seedsofhealth.org/grandview/home.html,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,2577.0,Public school
3619,236.0,59,80,Groppi High,Milwaukee,38,45,Groppi Hi,Milwaukee,3619,1,236,High School,09,12,Phillip  Rhymes,APIC,1312 N 27th St  Milwaukee WI  53208-2408,1312 N 27th St Milwaukee WI  53208-2408  ,Milwaukee,53208.0,2408.0,1312 N 27th St Milwaukee WI  53208-2408  ,Milwaukee,40,Milwaukee,414-934-8200,,4149348215.0,019@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,963.0,Public school
3619,18.0,302,385,Hamilton High,Milwaukee,315,380,Hamilton Hi,Milwaukee,3619,1,18,High School,09,12,Rose  Martin,Principal,6215 W Warnimont Ave  Milwaukee WI  53220-1322,6215 W Warnimont Ave Milwaukee WI  53220-1322  ,Milwaukee,53220.0,1322.0,6215 W Warnimont Ave Milwaukee WI  53220-1322  ,Milwaukee,40,Milwaukee,414-327-9300,,4143279315.0,018@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1180.0,Public school
3619,880.0,54,69,HAPA-Hmong American Peace Academy K3-12,Milwaukee,64,73,HAPA-Hmong Amer Peace Ac,Milwaukee,3619,1,880,Combined Elementary/Secondary School,K4,12,Chris  Her-Xiong,Principal,4601 N 84th St  Milwaukee WI  53225-4958,4601 N 84th St Milwaukee WI  53225-4958  ,Milwaukee,53225.0,4958.0,4601 N 84th St Milwaukee WI  53225-4958  ,Milwaukee,40,Milwaukee,414-383-4944,,4143834950.0,676@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,2979.0,Public school
3619,409.0,158,163,James Madison Academic Campus,Milwaukee,150,182,Madison Academic Campus,Milwaukee,3619,1,409,High School,09,12,Gregory  Ogunbowale,Principal,8135 W Florist Ave  Milwaukee WI  53218-1745,8135 W Florist Ave Milwaukee WI  53218-1745  ,Milwaukee,53218.0,1745.0,8135 W Florist Ave Milwaukee WI  53218-1745  ,Milwaukee,40,Milwaukee,414-393-6105,,4143936262.0,069@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2700.0,Public school
3619,20.0,379,370,King International,Milwaukee,359,365,King International,Milwaukee,3619,1,20,High School,09,12,Tanzanique  Carrington,Principal,1801 W Olive St  Milwaukee WI  53209-6840,1801 W Olive St Milwaukee WI  53209-6840  ,Milwaukee,53209.0,6840.0,1801 W Olive St Milwaukee WI  53209-6840  ,Milwaukee,40,Milwaukee,414-267-0700,,4142670715.0,020@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1199.0,Public school
3619,296.0,2,15,Lad Lake Synergy School,Milwaukee,7,12,Lad Lake Synergy,Milwaukee,3619,1,296,Combined Elementary/Secondary School,06,12,Glen  Stavens,School Leader,2820 W Grant St  Milwaukee WI  53215,2820 W Grant St Milwaukee WI  53215  ,Milwaukee,53215.0,,2820 W Grant St Milwaukee WI  53215  ,Milwaukee,40,Milwaukee,414-332-2675,,4143322852.0,405@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,2567.0,Public school
3619,870.0,30,36,MacDowell Montessori School K3-12,Milwaukee,30,46,MacDowell Montessori Sch,Milwaukee,3619,1,870,Combined Elementary/Secondary School,K3,12,Andrea  Corona,Principal,6415 W Mount Vernon Ave  Milwaukee WI  53213-4025,6415 W Mount Vernon Ave Milwaukee WI  53213-4025  ,Milwaukee,53213.0,4025.0,6415 W Mount Vernon Ave Milwaukee WI  53213-4025  ,Milwaukee,40,Milwaukee,414-935-1400,,4149351415.0,261@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2931.0,Public school
3619,8.0,184,188,Marshall High,Milwaukee,177,158,Marshall Hi,Milwaukee,3619,1,8,High School,09,12,Barry  Applewhite,Principal,4141 N 64th St  Milwaukee WI  53216-1149,4141 N 64th St Milwaukee WI  53216-1149  ,Milwaukee,53216.0,1149.0,4141 N 64th St Milwaukee WI  53216-1149  ,Milwaukee,40,Milwaukee,414-393-2300,,4143932315.0,008@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1215.0,Public school
3619,441.0,37,31,Milwaukee Community Cyber High,Milwaukee,50,29,Milw Community Cyber Hi,Milwaukee,3619,1,441,High School,09,12,Stephanie  Evans-Steinbach,Contact Person,131 S 1st St  Milwaukee WI  53204-1404,131 S 1st St Milwaukee WI  53204-1404  ,Milwaukee,53204.0,1404.0,131 S 1st St Milwaukee WI  53204-1404  ,Milwaukee,40,Milwaukee,414-308-1232,,4143081231.0,ssteinbach@mysohi.org,www.seedsofhealth.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,2822.0,Public school
3619,315.0,5,8,Milwaukee County Youth Education Center,Milwaukee,6,6,Milw Co Youth Educ Center,Milwaukee,3619,1,315,Combined Elementary/Secondary School,06,12,Diane  Ludwig,Principal,949 N 9th St  Milwaukee WI  53233-1422,949 N 9th St Milwaukee WI  53233-1422  ,Milwaukee,53233.0,1422.0,949 N 9th St Milwaukee WI  53233-1422  ,Milwaukee,40,Milwaukee,414-298-9305,,4142267335.0,411@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,1306.0,Public school
3619,38.0,200,234,Milwaukee High School of the Arts,Milwaukee,199,205,Milw Hi Sch of the Arts,Milwaukee,3619,1,38,High School,09,12,Larry  Farris,Principal,2300 W Highland Ave  Milwaukee WI  53233-1007,2300 W Highland Ave Milwaukee WI  53233-1007  ,Milwaukee,53233.0,1007.0,2300 W Highland Ave Milwaukee WI  53233-1007  ,Milwaukee,40,Milwaukee,414-934-7000,,4149347015.0,038@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2339.0,Public school
3619,71.0,132,132,Milwaukee School of Languages,Milwaukee,130,158,Milw Sch of Languages,Milwaukee,3619,1,71,Combined Elementary/Secondary School,06,12,Yvette  Martel,Principal,8400 W Burleigh St  Milwaukee WI  53222-3717,8400 W Burleigh St Milwaukee WI  53222-3717  ,Milwaukee,53222.0,3717.0,8400 W Burleigh St Milwaukee WI  53222-3717  ,Milwaukee,40,Milwaukee,414-393-5700,,4143935715.0,071@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1273.0,Public school
3619,419.0,69,81,North Division High 0419,Milwaukee,52,74,North Division Hi 0419,Milwaukee,3619,1,419,High School,09,12,Keith  Carrington,Principal,1011 W Center St  Milwaukee WI  53206-3262,1011 W Center St Milwaukee WI  53206-3262  ,Milwaukee,53206.0,3262.0,1011 W Center St Milwaukee WI  53206-3262  ,Milwaukee,40,Milwaukee,414-267-4900,,4142674915.0,084@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2730.0,Public school
3619,474.0,15,23,NOVA Tech-Northwest Opportunities Vocational Academy Technical High,Milwaukee,8,25,NOVA Tech,Milwaukee,3619,1,474,High School,09,12,Nancy  DeYoung,Contact Person,225 W Capitol Dr  Milwaukee WI  53212,225 W Capitol Dr Milwaukee WI  53212  ,Milwaukee,53212.0,,225 W Capitol Dr Milwaukee WI  53212  ,Milwaukee,40,Milwaukee,414-301-6592,,4143016592.0,474@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Vocational,Charter,Primarily Classroom (Supplemental Virtual),5509600.0,3010.0,Public school
3619,1072.0,10,21,NOVA-Northwest Opportunities Vocational Academy,Milwaukee,12,23,NOVA,Milwaukee,3619,1,1072,Combined Elementary/Secondary School,07,12,Patricia  Bridges,Contact Person,2320 W Burleigh St  Milwaukee WI  53206-1751,2320 W Burleigh St Milwaukee WI  53206-1751  ,Milwaukee,53206.0,1751.0,2320 W Burleigh St Milwaukee WI  53206-1751  ,Milwaukee,40,Milwaukee,414-874-0283,,4148740284.0,450@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,843.0,Public school
3619,840.0,63,107,Obama School of Career and Technical Education,Milwaukee,87,101,Obama SCTE,Milwaukee,3619,1,840,Combined Elementary/Secondary School,K3,12,Carol  McKay,Principal,5075 N Sherman Blvd  Milwaukee WI  53209-5246,5075 N Sherman Blvd Milwaukee WI  53209-5246  ,Milwaukee,53209.0,5246.0,5075 N Sherman Blvd Milwaukee WI  53209-5246  ,Milwaukee,40,Milwaukee,414-393-4905,,,840@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2993.0,Public school
3619,458.0,43,109,Project STAY-Supporting Teachers and Youth,Milwaukee,61,78,Project STAY,Milwaukee,3619,1,458,High School,09,12,Diane  Ludwig,Principal,609 N 8th St  Milwaukee WI  53233-2405,609 N 8th St Milwaukee WI  53233-2405  ,Milwaukee,53233.0,2405.0,609 N 8th St Milwaukee WI  53233-2405  ,Milwaukee,40,Milwaukee,414-298-9300,,4142989315.0,458@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,1007.0,Public school
3619,26.0,169,170,Pulaski High,Milwaukee,160,225,Pulaski Hi,Milwaukee,3619,1,26,High School,09,12,Lolita  Patrick,Principal,2500 W Oklahoma Ave  Milwaukee WI  53215-4437,2500 W Oklahoma Ave Milwaukee WI  53215-4437  ,Milwaukee,53215.0,4437.0,2500 W Oklahoma Ave Milwaukee WI  53215-4437  ,Milwaukee,40,Milwaukee,414-902-8900,,4149028915.0,026@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1235.0,Public school
3619,435.0,341,305,Reagan College Preparatory High,Milwaukee,288,311,Reagan Hi,Milwaukee,3619,1,435,High School,09,12,Michael  Roemer,Principal,4965 S 20th St  Milwaukee WI  53221-2860,4965 S 20th St Milwaukee WI  53221-2860  ,Milwaukee,53221.0,2860.0,4965 S 20th St Milwaukee WI  53221-2860  ,Milwaukee,40,Milwaukee,414-304-6105,,4143046115.0,007@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,3342.0,Public school
3619,29.0,371,362,Riverside High,Milwaukee,320,355,Riverside Hi,Milwaukee,3619,1,29,High School,09,12,Maria  Gonzalez-Edwards,Principal,1615 E Locust St  Milwaukee WI  53211-3222,1615 E Locust St Milwaukee WI  53211-3222  ,Milwaukee,53211.0,3222.0,1615 E Locust St Milwaukee WI  53211-3222  ,Milwaukee,40,Milwaukee,414-906-4900,,4149064915.0,029@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1237.0,Public school
3619,1074.0,20,41,Shalom High,Milwaukee,17,44,Shalom Hi,Milwaukee,3619,1,1074,High School,09,12,Denise  Pritchford,Director,1749 N 16th St  Milwaukee WI  53205-1624,1749 N 16th St Milwaukee WI  53205-1624  ,Milwaukee,53205.0,1624.0,1749 N 16th St Milwaukee WI  53205-1624  ,Milwaukee,40,Milwaukee,414-933-5019,,4149335433.0,432@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,856.0,Public school
3619,32.0,229,288,South Division High,Milwaukee,201,215,South Division Hi,Milwaukee,3619,1,32,High School,09,12,Jesus  Santos,Principal,1515 W Lapham Blvd  Milwaukee WI  53204-3236,1515 W Lapham Blvd Milwaukee WI  53204-3236  ,Milwaukee,53204.0,3236.0,1515 W Lapham Blvd Milwaukee WI  53204-3236  ,Milwaukee,40,Milwaukee,414-902-8300,,4149028315.0,032@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,1247.0,Public school
3619,433.0,39,53,Transition High,Milwaukee,33,60,Transition Hi,Milwaukee,3619,1,433,High School,09,12,Raymond  Moore,APIC,1940 N 36th St  Milwaukee WI  53208-1927,1940 N 36th St Milwaukee WI  53208-1927  ,Milwaukee,53208.0,1927.0,1940 N 36th St Milwaukee WI  53208-1927  ,Milwaukee,40,Milwaukee,414-212-2671,,4142122667.0,088@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600.0,2760.0,Public school
3619,33.0,200,219,Vincent High,Milwaukee,137,186,Vincent Hi,Milwaukee,3619,1,33,High School,09,12,Daryl  Burns,Principal,7501 N Granville Rd  Milwaukee WI  53224-3927,7501 N Granville Rd Milwaukee WI  53224-3927  ,Milwaukee,53224.0,3927.0,7501 N Granville Rd Milwaukee WI  53224-3927  ,Milwaukee,40,Milwaukee,262-236-1200,,2622361254.0,033@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2272.0,Public school
3619,424.0,131,175,WHS Information Technology,Milwaukee,127,136,WHS Info Technology,Milwaukee,3619,1,424,High School,09,12,Angelena  Terry,Principal,2525 N Sherman Blvd  Milwaukee WI  53210-2949,2525 N Sherman Blvd Milwaukee WI  53210-2949  ,Milwaukee,53210.0,2949.0,2525 N Sherman Blvd Milwaukee WI  53210-2949  ,Milwaukee,40,Milwaukee,414-875-5900,,4148756115.0,039@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,2608.0,Public school
3619,399.0,35,49,Wisconsin Conservatory of Lifelong Learning,Milwaukee,47,66,WI Consrv Lifelong Learning,Milwaukee,3619,1,399,Combined Elementary/Secondary School,K3,12,Stanley  McWilliams,Principal,1017 N 12th St  Milwaukee WI  53233-1307,1017 N 12th St Milwaukee WI  53233-1307  ,Milwaukee,53233.0,1307.0,1017 N 12th St Milwaukee WI  53233-1307  ,Milwaukee,40,Milwaukee,414-304-6800,,4143046815.0,399@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600.0,681.0,Public school
3633,80.0,59,46,Mineral Point High,Mineral Point Unified,48,55,Mineral Point Hi,Mineral Point Unified,3633,3,80,High School,09,12,Mitch  Wainwright,Principal,705 Ross St  Mineral Point WI  53565-1074,705 Ross St Mineral Point WI  53565-1074  ,Mineral Point,53565.0,1074.0,705 Ross St Mineral Point WI  53565-1074  ,Mineral Point,25,Iowa,608-987-0731,,6089873766.0,mitch.wainwright@mp.k12.wi.us,www.mp.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509660.0,1276.0,Public school
3661,40.0,59,67,Mishicot High,Mishicot,67,56,Mishicot Hi,Mishicot,3661,7,40,High School,09,12,Paul  Orlich,Principal,660 Washington St  Mishicot WI  54228,PO Box 280 Mishicot WI  54228-0280  ,Mishicot,54228.0,280.0,660 Washington St Mishicot WI  54228  ,Mishicot,36,Manitowoc,920-755-2311,,9207552390.0,porlich@mishicot.k12.wi.us,www.mishicot.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509750.0,1283.0,Public school
3668,100.0,56,64,Mondovi High,Mondovi,67,70,Mondovi Hi,Mondovi,3668,10,100,High School,09,12,Tami  Bagstad,Principal,337 N Jackson St  Mondovi WI  54755-1197,337 N Jackson St Mondovi WI  54755-1197  ,Mondovi,54755.0,1197.0,337 N Jackson St Mondovi WI  54755-1197  ,Mondovi,6,Buffalo,715-926-3656,1377.0,7159263617.0,mbruning@mondovi.k12.wi.us,www.mondovi.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509780.0,1287.0,Public school
3675,60.0,233,243,Monona Grove High,Monona Grove,254,255,Monona Grove Hi,Monona Grove,3675,2,60,High School,09,12,Paul  Brost,Principal,4400 Monona Dr  Monona WI  53716-1097,4400 Monona Dr Monona WI  53716-1097  ,Monona,53716.0,1097.0,4400 Monona Dr Monona WI  53716-1097  ,Monona,13,Dane,608-316-1369,,6082217690.0,paul.brost@mgschools.net,www.mononagrove.org,Regular,No,Primarily Classroom (Supplemental Virtual),5509810.0,1291.0,Public school
3675,450.0,18,17,Monona Grove Liberal Arts Charter School for the 21st Century,Monona Grove,17,15,Monona Grove Liberal Arts,Monona Grove,3675,2,450,High School,09,12,Kristen  Langer,Associate Principal,5301 Monona Dr  Monona WI  53716-3126,5301 Monona Dr Monona WI  53716-3126  ,Monona,53716.0,3126.0,5301 Monona Dr Monona WI  53716-3126  ,Monona,13,Dane,608-316-1370,,6082217688.0,rebecca.fox-blair@mgschools.net,www.mononagrove.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509810.0,2828.0,Public school
3682,120.0,176,159,Monroe High,Monroe,167,165,Monroe Hi,Monroe,3682,2,120,High School,09,12,Chris  Medenwaldt,Principal,1600 26th St  Monroe WI  53566-3631,1600 26th St Monroe WI  53566-3631  ,Monroe,53566.0,3631.0,1600 26th St Monroe WI  53566-3631  ,Monroe,23,Green,608-328-7557,,6083287230.0,chrismedenwaldt@monroe.k12.wi.us,www.monroeschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5509840.0,1298.0,Public school
3689,420.0,5,5,High Marq Environmental Charter School,Montello,5,3,High Marq Environmental Chrtr,Montello,3689,5,420,High School,07,12,Kelly  Skifstad,Principal Grades 6-12,222 Forest Ln  Montello WI  53949-9390,222 Forest Ln Montello WI  53949-9390  ,Montello,53949.0,9390.0,222 Forest Ln Montello WI  53949-9390  ,Montello,39,Marquette,608-297-2126,455.0,6082977726.0,kskifstad@montelloschools.org,www.montelloschools.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509870.0,2821.0,Public school
3689,40.0,49,52,Montello Junior/Senior High,Montello,53,53,Montello Jr/Sr Hi,Montello,3689,5,40,High School,06,12,Kelly  Skifstad,Principal Grades 6-12,222 Forest Ln  Montello WI  53949-9390,222 Forest Ln Montello WI  53949-9390  ,Montello,53949.0,9390.0,222 Forest Ln Montello WI  53949-9390  ,Montello,39,Marquette,608-297-2126,455.0,6082979390.0,kskifstad@montelloschools.org,www.montelloschools.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509870.0,1303.0,Public school
3689,800.0,2,1,Montello Virtual Charter School,Montello,3,3,Montello Virtual Charter Sch,Montello,3689,5,800,Combined Elementary/Secondary School,KG,12,Theresa  Crawford,Coordinator,222 Forest Ln  Montello WI  53949-9390,222 Forest Ln Montello WI  53949-9390  ,Montello,53949.0,9390.0,222 Forest Ln Montello WI  53949-9390  ,Montello,39,Marquette,608-297-2128,131.0,6082978075.0,tcrawford@montelloschools.org,www.montelloschools.org,Regular,Charter,Primarily Virtual,5509870.0,3016.0,Public school
